Class;x min;y min;x max - x min;y max - ymin;Image name;Width;Height
5;14;256;139;183;20200614_130201b.jpg;1569;499
9;146;247;130;197;20200614_130201b.jpg;1569;499
9;273;240;137;194;20200614_130201b.jpg;1569;499
6;412;226;127;201;20200614_130201b.jpg;1569;499
2;539;208;139;227;20200614_130201b.jpg;1569;499
5;676;185;155;227;20200614_130201b.jpg;1569;499
w;963;157;255;190;20200614_130201b.jpg;1569;499
w;1220;131;248;208;20200614_130201b.jpg;1569;499
5;135;127;181;207;20200614_130203b.jpg;1949;519
9;293;145;164;210;20200614_130203b.jpg;1949;519
9;457;156;161;201;20200614_130203b.jpg;1949;519
6;627;170;158;221;20200614_130203b.jpg;1949;519
2;779;185;175;190;20200614_130203b.jpg;1949;519
5;957;185;161;213;20200614_130203b.jpg;1949;519
w;1305;188;313;221;20200614_130203b.jpg;1949;519
w;1624;202;299;218;20200614_130203b.jpg;1949;519
5;139;0;59;41;20200614_130217b.jpg;719;119
4;122;1;76;126;20200614_130229(0)b.jpg;949;199
8;200;0;77;111;20200614_130229(0)b.jpg;949;199
9;277;0;64;95;20200614_130229(0)b.jpg;949;199
0;346;0;77;85;20200614_130229(0)b.jpg;949;199
4;77;239;70;126;20200614_130229b.jpg;799;399
8;148;215;53;139;20200614_130229b.jpg;799;399
9;205;214;47;128;20200614_130229b.jpg;799;399
6;258;199;57;134;20200614_130229b.jpg;799;399
b;420;185;108;93;20200614_130229b.jpg;799;399
7;592;141;53;130;20200614_130229b.jpg;799;399
2;652;131;58;131;20200614_130229b.jpg;799;399
5;13;8;6;15;20200614_130236.jpg;101;32
1;20;8;6;16;20200614_130236.jpg;101;32
7;27;8;6;16;20200614_130236.jpg;101;32
0;33;8;6;15;20200614_130236.jpg;101;32
7;40;9;6;15;20200614_130236.jpg;101;32
d;55;12;9;10;20200614_130236.jpg;101;32
6;76;10;8;15;20200614_130236.jpg;101;32
5;13;13;8;18;20200614_130237.jpg;115;43
1;22;14;5;19;20200614_130237.jpg;115;43
7;29;14;7;18;20200614_130237.jpg;115;43
0;37;15;6;19;20200614_130237.jpg;115;43
7;45;14;7;19;20200614_130237.jpg;115;43
d;62;19;10;12;20200614_130237.jpg;115;43
6;87;16;9;18;20200614_130237.jpg;115;43
1;45;30;13;31;20200614_130245.jpg;317;178
5;59;34;16;35;20200614_130245.jpg;317;178
7;76;41;17;36;20200614_130245.jpg;317;178
4;94;56;18;32;20200614_130245.jpg;317;178
1;116;62;12;34;20200614_130245.jpg;317;178
b;168;91;27;28;20200614_130245.jpg;317;178
1;240;111;11;35;20200614_130245.jpg;317;178
5;256;121;23;33;20200614_130245.jpg;317;178
1;34;30;13;32;20200614_130246.jpg;361;140
5;49;34;22;32;20200614_130246.jpg;361;140
7;72;40;21;31;20200614_130246.jpg;361;140
4;96;51;23;30;20200614_130246.jpg;361;140
1;122;53;20;34;20200614_130246.jpg;361;140
b;187;77;34;22;20200614_130246.jpg;361;140
1;275;85;12;31;20200614_130246.jpg;361;140
5;292;92;27;28;20200614_130246.jpg;361;140
8;15;9;8;19;20200614_130303.jpg;113;49
7;23;11;8;18;20200614_130303.jpg;113;49
7;31;12;7;17;20200614_130303.jpg;113;49
0;39;14;7;17;20200614_130303.jpg;113;49
4;46;16;9;17;20200614_130303.jpg;113;49
h;71;23;11;12;20200614_130303.jpg;113;49
6;93;25;8;17;20200614_130303.jpg;113;49
5;16;21;7;14;20200614_130305.jpg;105;61
5;24;23;7;14;20200614_130305.jpg;105;61
2;31;24;7;14;20200614_130305.jpg;105;61
6;39;26;7;14;20200614_130305.jpg;105;61
7;47;27;7;13;20200614_130305.jpg;105;61
9;55;29;7;14;20200614_130305.jpg;105;61
w;66;32;13;15;20200614_130305.jpg;105;61
w;80;35;14;15;20200614_130305.jpg;105;61
5;13;21;9;17;20200614_130306.jpg;125;73
5;22;24;11;16;20200614_130306.jpg;125;73
2;31;26;10;15;20200614_130306.jpg;125;73
6;42;28;11;17;20200614_130306.jpg;125;73
7;53;30;11;17;20200614_130306.jpg;125;73
9;62;32;11;17;20200614_130306.jpg;125;73
w;78;36;18;20;20200614_130306.jpg;125;73
w;96;40;20;19;20200614_130306.jpg;125;73
5;7;11;6;10;20200614_130313.jpg;81;27
9;13;11;6;11;20200614_130313.jpg;81;27
9;19;10;7;11;20200614_130313.jpg;81;27
6;25;11;6;10;20200614_130313.jpg;81;27
2;31;10;7;10;20200614_130313.jpg;81;27
5;38;9;6;11;20200614_130313.jpg;81;27
w;52;9;11;10;20200614_130313.jpg;81;27
w;63;8;11;11;20200614_130313.jpg;81;27
5;14;20;8;15;20200614_130314.jpg;132;49
9;23;19;8;16;20200614_130314.jpg;132;49
9;31;18;8;14;20200614_130314.jpg;132;49
6;40;17;8;14;20200614_130314.jpg;132;49
2;49;16;9;15;20200614_130314.jpg;132;49
5;59;14;9;16;20200614_130314.jpg;132;49
w;79;12;15;13;20200614_130314.jpg;132;49
w;95;8;16;16;20200614_130314.jpg;132;49
5;9;12;13;21;20200614_130315.jpg;144;46
9;21;13;11;20;20200614_130315.jpg;144;46
9;33;14;12;19;20200614_130315.jpg;144;46
6;44;13;13;21;20200614_130315.jpg;144;46
2;57;15;11;20;20200614_130315.jpg;144;46
5;69;15;13;19;20200614_130315.jpg;144;46
w;96;15;20;18;20200614_130315.jpg;144;46
w;119;15;20;18;20200614_130315.jpg;144;46
5;11;9;11;21;20200614_130326.jpg;133;38
2;22;9;9;21;20200614_130326.jpg;133;38
6;31;10;10;20;20200614_130326.jpg;133;38
7;40;8;10;22;20200614_130326.jpg;133;38
1;53;8;6;22;20200614_130326.jpg;133;38
a;77;8;9;21;20200614_130326.jpg;133;38
1;106;7;6;23;20200614_130326.jpg;133;38
1;116;6;7;24;20200614_130326.jpg;133;38
5;15;14;13;27;20200614_130327.jpg;178;64
2;29;15;10;26;20200614_130327.jpg;178;64
6;39;15;12;28;20200614_130327.jpg;178;64
7;50;17;14;28;20200614_130327.jpg;178;64
1;67;16;9;30;20200614_130327.jpg;178;64
a;98;18;11;30;20200614_130327.jpg;178;64
1;135;21;12;32;20200614_130327.jpg;178;64
1;149;22;11;30;20200614_130327.jpg;178;64
5;21;33;16;41;20200614_130348.jpg;301;221
5;40;49;14;36;20200614_130348.jpg;301;221
8;56;62;16;35;20200614_130348.jpg;301;221
a;143;108;17;46;20200614_130348.jpg;301;221
1;237;161;24;39;20200614_130348.jpg;301;221
5;35;64;27;47;20200614_130349.jpg;457;359
5;64;85;23;44;20200614_130349.jpg;457;359
8;89;105;31;45;20200614_130349.jpg;457;359
a;216;187;27;47;20200614_130349.jpg;457;359
1;344;267;45;43;20200614_130349.jpg;457;359
3;6;12;7;12;20200614_130404.jpg;81;25
2;15;12;6;12;20200614_130404.jpg;81;25
8;22;11;6;13;20200614_130404.jpg;81;25
6;29;10;6;13;20200614_130404.jpg;81;25
d;46;12;6;9;20200614_130404.jpg;81;25
8;63;9;6;14;20200614_130404.jpg;81;25
3;20;10;10;19;20200614_130405.jpg;127;39
2;31;11;9;16;20200614_130405.jpg;127;39
8;41;12;8;16;20200614_130405.jpg;127;39
6;51;12;8;16;20200614_130405.jpg;127;39
d;73;16;11;10;20200614_130405.jpg;127;39
8;97;14;11;18;20200614_130405.jpg;127;39
3;8;6;15;22;20200614_130406.jpg;136;36
2;25;7;11;21;20200614_130406.jpg;136;36
8;38;7;11;21;20200614_130406.jpg;136;36
6;50;7;10;22;20200614_130406.jpg;136;36
d;80;13;12;15;20200614_130406.jpg;136;36
8;112;9;11;23;20200614_130406.jpg;136;36
9;14;12;7;17;20200614_130414.jpg;99;32
4;22;12;6;15;20200614_130414.jpg;99;32
8;27;12;6;15;20200614_130414.jpg;99;32
1;34;12;5;15;20200614_130414.jpg;99;32
4;41;12;6;13;20200614_130414.jpg;99;32
a;59;9;5;16;20200614_130414.jpg;99;32
8;77;8;8;16;20200614_130414.jpg;99;32
1;8;14;4;14;20200614_130419.jpg;83;32
6;14;13;6;13;20200614_130419.jpg;83;32
6;22;12;6;14;20200614_130419.jpg;83;32
4;29;13;5;12;20200614_130419.jpg;83;32
5;34;11;6;14;20200614_130419.jpg;83;32
b;46;13;12;10;20200614_130419.jpg;83;32
6;65;9;7;13;20200614_130419.jpg;83;32
1;9;15;5;17;20200614_130420.jpg;96;40
6;16;14;8;18;20200614_130420.jpg;96;40
